Dimension, Obstacles, Seed, Algorithm, Time, Nodes Expanded, Plan Length, Error, Plan
4, 0, 0, bfs, 1.20, 94, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 0, ucs, 0.75, 83, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 0, gbfs, 0.11, 10, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 0, astar, 0.53, 59, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 0, custom-astar, 0.67, 74, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 3735929054, bfs, 0.85, 94, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 3735929054, ucs, 0.75, 83, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 3735929054, gbfs, 0.10, 10, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 3735929054, astar, 0.78, 59, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 3735929054, custom-astar, 0.77, 74, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 195936478, bfs, 1.09, 94, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 195936478, ucs, 0.86, 83, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 195936478, gbfs, 0.11, 10, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 195936478, astar, 0.56, 59, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 195936478, custom-astar, 0.67, 74, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 20493, bfs, 0.86, 94, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 20493, ucs, 0.78, 83, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 20493, gbfs, 0.11, 10, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 20493, astar, 0.59, 59, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 20493, custom-astar, 0.91, 74, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 2881141419, bfs, 1.03, 94, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
4, 0, 2881141419, ucs, 0.88, 83, 9, None, MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF
